Mark, Crank_target, ParkMode, MG1Anglemeasuredrad, MG1_Speed_Measured, MG1TorquemeasuredNm, Crankangle, MG2_Torque, MG2Speed, ThresholdTorque_Nm, ThresholdSpeed_rpm, ParkPosition_rad, VminAcceleration_Kmh, VminDeceleration_Kmh, C_MG1_Park_Nm_radps, K_MG1_Park_Nm_rad, ParkMaxTorque_Nm, SupportLevel, CruiseControlSpeed, Front_Brake_On, Rear_Brake_On, MG1_target_spd_rpm, MG1_target_trq_A, MG1_mode, MG2_target_trq_A, Kalman_states[1], Kalman_states[2], Kalman_states[3], Kalman_states[4], Kalman_states[5], Kalman_states[6], Kalman_states[7], Kalman_states[8], Kalman_states[9], Kalman_states[10], V_bike_kmh, Crank_speed_rads, Crank_torque_Nm_filt, now, ts1, ts2, ts3, ts4, activation_time, rt_reset, overflowed, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.105618, 0.174167, -0.00415993, 0.1377, 0.0261115, 0.00126089, -0.0261915, 0, 0, 0, 0, 1.61351, 0,  0.168118,  0.168134,  0.168227,  0.168229,  0.168230,  3.168118, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.102164, 0.420035, -0.00308607, 0.355966, 0.117329, 0.000927481, -7.04255, 0, 0, 0, 0, 4.01208, 0,  0.268127,  0.268144,  0.268237,  0.268239,  0.268239,  3.268127, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.103075, 0.70281, -0.00252468, 1.03546, 0.100007, 0.000759148, -29.8157, 0, 0, 0, 0, -1.23639, 0,  0.368121,  0.368138,  0.368231,  0.368233,  0.368234,  3.368121, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.103914, 0.944716, -0.000618635, 1.81035, 0.0291627, 0.000187145, -45.9094, 0, 0, 0, 0, 0.44832, 0,  0.468126,  0.468142,  0.468236,  0.468238,  0.468238,  3.468126, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.104335, 1.05854, 0.000486822, 1.78473, -0.013327, -0.000144954, -32.1561, 0, 0, 0, 0, -0.165224, 0,  0.568126,  0.568142,  0.568235,  0.568237,  0.568238,  3.568126, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.104383, 1.05881, 0.000683658, 1.11637, -0.0228675, -0.000204574, -5.75495, 0, 0, 0, 0, 0.0594698, 0,  0.668126,  0.668143,  0.668236,  0.668238,  0.668239,  3.668126, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.104276, 1.01618, 0.000481202, 0.393147, -0.0172573, -0.000144284, 14.5096, 0, 0, 0, 0, -0.0207566, 0,  0.768126,  0.768142,  0.768235,  0.768237,  0.768238,  3.768126, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.10415, 0.971891, 0.000203944, -0.119238, -0.00815329, -6.13665e-05, 24.1348, 0, 0, 0, 0, 0.00700342, 0,  0.868125,  0.868142,  0.868236,  0.868238,  0.868238,  3.868125, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.104055, 0.941126, -1.38323e-05, -0.377864, -0.000576889, 3.86887e-06, 24.83, 0, 0, 0, 0, -0.0022648, 0,  0.968126,  0.968143,  0.968235,  0.968238,  0.968238,  3.968126, 0, 0, 
1, 0, 0, 0.392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0.104005, 0.926347, -0.000135063, -0.433123, 0.00390186, 4.02506e-05, 20.1052, 0, 0, 0, 0, 0.000690582, 0,  1.068126,  1.068142,  1.068235,  1.068237,  1.068238,  4.068126, 0, 0, 
